,userName,score,clean_review,label
10,Charlie Charlie,1,pesanan salah dikirim saya pesan kapsim malah dikirim tulang semua padahal di aplikasi pesanan saya pilih yang kapsim lengan di plastik daging nya malah tulisan punggung yang dikirim juga gak ada dagingnya sama sekali tulang semua,0
11,Aida Fitria,5,pengirimannya cepet bngt barangnya juga sesuai pesanan sayangnya menu makanan agak kurang banyak klo bisa tambahin menu martabak dong min,1
12,Hanny Silvia,1,pilihan pembayaran sedikit minimal top up saldo astro ga bisa pilih manual mau bayar pake gopay sangat susah bahkan gabisa sangat disayangkan,0
13,fatkhiyatul mutfah,1,saya beli anggur muscat pax ada label di boxnya dan itu rasanya manis textur anggurnya jg padet tanpa biji box nya tanpa label rasaanya ga karuan asem bgd texturnya lembek kaya anggur biasa mau complain bingung kemanaa rugi deh gw,0
14,Serly Natalia,5,aplikasi ini sangat membantu aq bru pake aplikasi ini sekali belanja cpt nympe a buat kalian yg blm donwload apk astro ini cpt deh donwload,1
15,Aulia Aprilita,5,belum mencoba apa betul hargaa sesuai promo dan pruduknya bagus,1
16,fitriyah indra,5,barang berkualitas pengemasan rapi pengiriman sangat cepat pilihan berbelanja yg paling mantab semoga makin dilengkapi item nya,1
17,Susiana Sung,5,baru pertama kali pakai mudah digunakan produk banyak yang paling penting discount lumayan utk para emak yg males ke pasar boleh banget dahh,1
18,Lulu Hidayat,4,klo brg konsumsi yg bermerek ok lah tp klo buah agak mengecewakan sih tingkatkan pelayanan anda ya,1
19,Tauyu Rues,5,suka banget sama apk ini pilihan produk banyak lengkap sampai mau beli nasi goreng pun ada awalnya ngira cuma buat grocery biasa taunya lengkap banget harga produk kompetitif lah ya diskonnya banyak pelayanan juga oke terimakasih astro sangat membantu sekali apk ini,1
20,Adah Saadah,5,aku tipe orang yang malas belanja secara langsung karena jauh banget jadi aku selalu terbantu dengan adanya aplikasi astro ini karena tentunya belanja gk perlu ribet langsung pesan dan yang paling suka proses pengirimannya sangat cepat apalagi dengan fitur pilihan kategorinya dengan kategori pilihan yang lengkap buat makin mudah untuk berbelanja mantap aku selalu langganan terus,1
21,Mila Angra,5,sejauh ini astro ok bgt dari mulai co sampe pengiriman ga sampe jam barang jg lumayan lengkap sampe malem kalo kepepet nyari bahan makanan atau cemilan tetep dikirim smoga makin ok dan makin berkembang yaa,1
22,ken nathanael orlando,5,bagus bgt bisa belanja kebutuhan kekurangannya cuma gak ada vitur cod aja,1
23,wong deso,5,cocok sekali dengan aq yg pengen belanja kebutuhan runah tangga tapi mager produk lengkap,1
24,Firman Fadillah,1,pengiriman supernya tidak terlalu super,0
25,ferra khow,5,solusi disaat urgent utk mknan kcil ato cemilan dtengah malam n malas kluar rmh hahaha biar kang astro yg antar smp dpn rmh mantap sukses selalu astro,1
26,Adi Kusnadi,1,kalau pesen ojek online grab atau gojek jgn kebanyakan cancle bos kita jauh kesitu malah di cancle emang motor minum pake air kususnya astro kranggan,0
27,tan nvl,5,wah senang banget make aplikasi astro ini karna aku bisa pesen makanan dengan pengiriman yang cepat banyak diskon harga loh di astro yuk buruan download astro,1
28,Rav,4,pengiriman cepat daging ayam sejauh ini lumayan bagus tapi pernah beli sayuran ada yg kurang bagus,1
29,Widya As,4,pengiriman super cepat pertama kali coba tapi spesial pengguna baru tebus murah ternyata min pembelian k jadi rada gimna gtu ya,1
30,anna fitriah,5,sd saat ini layanan bagus dan sesuai dg pesanan yg diaplikasi saran kl bs pengantarannya bs lbh cepat,1
31,Girimas Arthamulia,1,aneh astro ini masak orang belanja banyak dibatalkan dan dblokir akunnya biar gak bisa pakai promo gak usah ngadain promo klo akhirnya dipakai gak boleh lama pengembalian dananya,0
32,Harri Yansyah Maulana,1,ini mohon di perbaiki secepatnya masalah gps di alamat di pencarian ada pas di gps malah ngaco ke tempat lain,0
33,Nabila Dwi Paramitha,5,oke banget pelayanan nya bagus banget semoga makin tersebar di seluruh kota di indonesia,1
34,Syabilla bila,5,apk mantep buat org mageran kaya aku beli apa aja tinggal klik langsung sampai barangnya the best apk nya,1
35,Romanita Adiyani,4,semoga sering ada promo meski harga agak lebih mahal dr indo et atau al rt,1
36,Fania Putri,5,sangat memuaskan dan lbh cepat dgn pelayanan nya,1
37,Anugerah Pharsa,5,bagus sekali aplikasinya cukup mudah dimengerti dan dipahami,1
38,sheila wijayanti,4,harga produk disini lebih affrodeble pengiriman juga cepat,1
39,Your Skub,1,dapet orderan ngeblast menit jarak pickup udh mao sampe malah di cancel jangan order ojol klo mao cepet mah pake kurir sendiri kita dapet orderan berdasarkan sistem maen cancel aja lu,0
40,Duanda Rahma,5,ini aplikasi emg gampang bgt di gunain cara daftarnya aja mudah trs mempermudah kita untuk ber belanja tanpa harus keluar rumah tinggal nunggu aja dan harga produk yg dijual sesuai dg pasaran lainnya tp butuh di perbanyak lagi ni buat list barang belanjaan so far semua bagus jd ku rate bintang thankyou,1
41,Nima Purtiwi,5,udah beberapa kali order pake aplikasi astro emang beneran menit sampe kaget banget kenapa bisa cepet padahal order udah di jam malam selain itu juga pilihan produknya lengkap dan sering ada diskon jadi ngga perlu repot keluar buat belanja kebutuhan dirumah nyesel sih baru tau aplikasinya cara pakenya juga mudah bisa bayar pake e wallet atau tunai,1
42,Warung Grabfood,1,promo nya tidak jelas cepat berubah dalam seminggu sudah berapa kali berubah makin lama makin sama saja dengan aplikasi belanja yg lain barang tidak lengkap banyak yg kosong juga percuma pengiriman cepat kalau harga barang ongkir jadi lebih mahal daripada warung sembako kalau mau banyak pengguna kembalikan promo yg sebelumnya,0
43,Snurul Fad,5,aplikadi ini cocok buat yang mageran buat belanja langsung seperti saya karena di aplikasi ini pilihan produknya banyak dan lengkap banget pelayanannya cepat dan proses pembayarannya mudah dan aman kita tinggal tunggu aja barangnya sampai deh jadi ga perlu ragu buat belanja lewat astro,1
44,febri ardianto,2,aplikasi astro tolong adakan pembayaran cod dong,0
45,Feriska Ayuni,5,awalnya ragu mana mungkin belanja disini proses pengirimannya cepat apalagi di jakarta macett ternyta sri sekian bnyk apk belanja kebutuhan harian astro si yang paling cepat proses pengirimannya dan ditambah dengan fitur pembayaran yg sangat mudah bisa pakai beberapa macam ewallet,1
46,Alesya,5,ini aplikasi bagus karena pilihan produknya banyak dan lengkap banget selain itu harganya juga lumayan kompetitif pelayanan dan pengirimannya super cepet banget jadi mempermudah buat belanja kebutuhan deh gak perlu repot harus keluar rumah,1
47,Sari Puspita,4,terima kasih ya astro belanja nya murah banget n sesuai pesanan,1
48,ran,5,dengan apk astro menurut saya pengiriman nya super cepat hanya menit selain itu sih pilihan produk nya jg banyak pembayaran yg sngt memudahkan pelayanan nya yang cepat jadi komplit bgt deh terus juga nih selain pembayaran yg mudah jg mempermudah pembelajaan dlm makanan dan minum an dan wktu datang kodisi barang dlm keadaan baik harga produk sendiri lumayan kompetitif,1
49,Lina Liani,5,belanja jadi lebih mudah dan ngga ribet pake aplikasi astro pilihan produk nya juga banyak banget dan lengkap pengiriman produk disini jugaa cepet cuma menit ajaa jadi ngga usah nunggu lamaa untuk kondisi barang baik semua dan sesuai ekspektasi,1
50,Jus Hen,1,sangat mengecewakan dapat rekomendasi dari saudara untuk belanja cepat di astro tapi sangat mengecewakan sekali baru mau beli sekali saja sudah dibatalkan saya ulangi lagi sampai x tetap di batalkan tanya cs nya dibilang melanggar persyaratan dan disuruh baca persyaratannya sdh dipelajari syaratnya dan saya tdk menemukan pelanggarannya tolong sebutin syarat yg saya tidak taati terima kasih,0
51,Nana Lia,5,akhirnya nemuin aplikasi yang bikin belanja yang pengiriman nya cepat dan proses pembayaran nya juga mudah harga produk juga lumayan kompetitif pokoknya lebih murah dari aplikasi belanja lainnya terbaik pokoknya astro mempermudah pengguna dan kurirnya juga ramah bintang pokoknya,1
52,Lailatul Fitria,1,belanja hampir jam belum dikirimkan mengajukan pembatalan dan berhasil saldo refund masuk ke saldo astro ketika ditarik saldonya malah proses lama untuk transfer ke rekening padahal lama langganan astro dari pertama launching kecewa dan sekarang auto unistall,0
53,Bayu Aji,5,semua produk ada di astro karena pilihan produk banyak dan lengkap ya jadi belanjanya cuma disini aja lagian harganya tuh kelewat murah sih menurut aku udah gitu asiknya lagi kita nggak perlu nunggu lama karena pengiriman sampai cuma menit loh mantap kan,1
54,nita angriyani,5,dengan adanya aplikasi ini sgt membantu dalam mempermudah pembelanjaan makanan dan minuman dan tenang saja bukan hanya itu kategori kebutuhan belanja juga sangat lengkap dengan harga yang ramah dengan kantong alias harga terjangkau ditmbah lagi dgn fitur proses pembayaran mudah tenang saja proses pengiriman cepat dengan nilai plus kondisi barang baik semua dan pengiriman belanjaan hanya menit dangar recomended dehh aplikasi ini untuk kita yg mageran belanja keluar namun pengiriman cepatt,1
55,Naptaals,5,selama memakai app ini engga butuh waktu yang lamaa banget buat belanja cukup nunggu pengiriman belanjaan hanya menit sambil mengerjain tugas yang lain pokoknya kalau mau belanja tapi waktunya engga cukup pakai app ini aja,1
56,Ais,5,aplikasi yang memberikan kemudahan untuk pengguna nya sangat membantu dalam kegiatan sehari hari dapat mencari dan memilih kebutuhan sehari hari kategori barangnya lengkap kondisi barang baik dan harga nya pun terjangkau proses pengiriman nya cepat dan pelayanan nya baik recommended sekali,1
57,Roses Arered,5,buat aku yang emang dasarnya mageran aplikasi ini jadi penyelamat banget dehsoalnya mempermudah pembelanjaan kebutuhan makanan dan minuman aku harga produk lumayan kompetitif belanja jadi lebih praktis dan hemat,1
58,Ayu Dea,5,aku orangnya ga suka ribet nunggu lama pas nyoba aplikasi ini terharu dong pengirimannya cepat bgt kurleb menit pembayarannya juga mudah bgt dijamin aman dan cepat pokoknya pas barang dateng bener sebagus itu next bakal langganan karena pilihan barangnya banyak lengkap,1
59,Bells Bachata,5,aplikasi yg mudah digunakan waktu pengiriman nya juga cpt kurang lebih menit banyak kategori kebutuhan belanja nya lengkap yg paling disuka tu pelayanan nya cpt proses pembayarannya mudah trus kondisi barang nya ttp bagus,1
60,Rain Fall,5,aplikasi ini benar membantu banget buat kaum rebahan seperti akubelanja jadi nggak perlu ribet tibet lagi deh pilihan produk banyak dan lengkap bangetproses pengirimannya juga cepat mantap deh pokoknya,1
61,Bunga Maulida,5,ga pernah nyesel belanja di astro pengiriman belanjaa cepat hanya meenit pilihan produknya banyak dan lengkap banget harganyapun lumayan kompetitif untuk proses pembayarannyapun cukup mudah best banget pokonya,1
62,Nam Ganz,5,pakai astro enak mau sarapan roti tinggal pilih aja variasi rotinya banyak dan enak harga lumayan murah juga miriplah sma kek di minimarket malah kalau lgi promo lebih murah dan ga perlu nunggu lama juga proses pengirimannya super cepat tingkatin terus ya min kecepatan pengirimannya,1
63,Muhamad Aldi,5,sangat senang berbelanja online di astro barang yang dibutuh sesuai deskripsi harga kompetitif pengiriman sangat cepat hanya kurang lebih menit tiba setelah pemesanan dan pengirimnya cepat dan aktif jadi gak rugi belanja di astro terimakasih astro,1
64,zahid adrebi,5,aku ketika belanja banyak pakai astro karena ada gratis ongkirnya dengan minimal belanja dan kurirnya pun sampe dirumah dengan tepat waktu cepat proses pembayaran mudah bisa pakai ewallet atau mbanking,1
65,Imjustcu,5,akhirnya nemu aplikasi ini buat belanja kebutuhan sehari hari kategori buat kebutuhan belanja lengkap banget di sini harganya cukup terjangkau proses pembayaran nya juga mudah terus proses pengiriman nya juga cepat kerenn nihmakasi astro,1
66,Hera Hera,5,yang mau belanja tapi mager keluar bisa banget download aplikasi astro groceries ini karna harga produk lumayan kompetitif ada banyak pilihan produk dan pengirimannya juga cepat bener ngebantu aku banget dan siapapun yang mager buat belanja keluar,1
67,Imroatu Zakya,5,pengirimannya cepet banget cuma menit an jadi gak ribet lagi kalo pas buru dan kebutuhan belanja lengkap banget fitur di apk juga keren semua jadi mudah buat yg masih awam dengan apk kayak gini sangat membantu deh aplikasi astro ini,1
68,Putri m,5,sekarang ga perlu pusing keluar rumah kalo mau belanja cukup di astro aja karena pilihan produknya banyak dan pastinya lengkap banget udah gitu proses pengirimannya cepat dan yang ga bikin khawatirnya lagi kondisi barangnya sampai dengan baik semua mantap pokoknyaa,1
69,Noni Olinviani,5,astro memang sekeren itu ya pengiriman belanjaan cuma menit super cepat harga produk juga lumayan kompetitif apalagi untuk fiturnya yang lengkap dan gampang dimengerti proses pembayarannya mudah banget kondisi barangnya juga oke thank you aplikasi astro,1
70,Arli Aqiilah,5,awalnya sebelum tau aplikasi ini selalu lihat di iklan pas download jadi nggak nyesel sama aplikasinya produk yg dicari lengkap banget harganya juga sesuai sama ekspektasi apalagi pengirimannya juga cepat banget rekomenn buat yg nggak sabaran mageran kayak kita,1
71,Little Star,5,karna aku tipe yang suka simple aplikasi ini bener memudahkan aku buat belanja online soalnya pengiriman menit super cepat sama kategori kebutuhan belanja sangat lengkap mantap deh,1
72,Dede Kurnia Mega,4,belanja di astro saya merasa sangat puas sekali pelayanan cepat dan proses pembayaran mudah saya pesan kondisi barang di terima dalam keadaan baik karena sudah di cek berkali kali dan yang pastinya harganya lebih murah ya di banding aplikasi lain maju terus astro,1
73,Farras Husna,5,astro merupakan aplikasi teraman untuk pembelanjaan pertama yang saya temui proses pembayaran mudah bisa menggunakan e wallet dan juga virtual account selain itu pengiriman menit super cepat jadi ga perlu khawatir untuk kebutuhan mendadak sekalipun,1
74,rithakarsil 73,5,baru ini sih ketemu aplikasi e commerce yg mantul banget baik dari hal pengiriman ataupun pengemasan pengiriman cepat banget cuma menit belanjaan sampai dan semua produknya dalam keadaan baik dan rapi mantaplah,1
75,Gareh Raseuki,5,aplikasi yang mempermudah kita buat belanja bulanan semua kebutuhan makanan dan minuman komplit ada disini dengan harga yang kompetitif jadi nggak perlu banyak mengeluarkan tenaga buat pilah pilih yang mau dibeli kondisi barang juga bagus dan pengiriman cepat prosesnya hanya butuh waktu menit saja,1
76,Jeon _ra,5,sekarang kalau mau belanja ga repot lagi keluar rumah sejak pake astro kategori kebutuhan belanja sangat lengkap cocok banget buat yang suka menu bervariasi nih selain itu proses pembayaran juga mudah recomended bangeett,1
77,Qomar Udin,5,bintang karenaa akhirnya menemukan aplikasi belanja yang harganya lumayan kompetitif dan banyak pilihan barang yg kita butuhkan apalagi ditambah dgn pengiriman yang super cepet banget jd semua jd gampang dan memudahkan banget,1
78,Aliyah Ratna,3,pengiriman cepat sekali hanya hitungan menit tapi kualitas produk kurang murah tp untuk produk tertentu masa exp cepat sekali hanya hitungan hari dan minggu kecuali susu exp th tidak rekomen untuk buah dan sayur karna ukuran tdk besar kurang manis dan saya beli ada belatung nya utk produk alpukat dan ubi ungu lebih baik beli di pasar jauh lebih murah dan di swalayan dan tdk jauh beda harga nya saya minta komplain tp ternyata tdk bisa karna sudah lewat x jam dari masa pembelian,0
79,Mahyatul Uyun,5,baru tau aplikasi ini rekomendasi dari temen setelah di coba eh bener aja puas banget belanja disini pilihan produknya banyak banget dan lengkap udah gitu pembayarannya juga mudah rekomendasi banget nih yang males buat keluar karena disini pengiriman barang belanjaan cuma menit,1
80,Aura Galuh,5,sukaa banget belanja di astro ini karena kondisi barang baik semua yang dijual exp masih lama dan kemasan gaada yang penyok terus pelayanan cepat banget baru pesen langsung bisa dianter jadi worth it buat kebutuhan yang buru,1
81,Nikita Putri,5,sebagai anak kost tentu aku suka masak sendiri tapi kadang suka males belanja bahan masakan keluar akhirnya aku nemu aplikasi ini buat belanja groceries di kostan disini pilihan produknya banyak dan lengkap banget terus pengiriman belanjaannya hanya menit jadinya praktis banget skrg gausah ribet lagi deh belanja cukup pake apk ini aja,1
82,Titiacitoy,5,belanja disini pengiriman belanjaannya cepet bgt proses pengiriman yg cepet dan pembayarannya juga mudah untuk kategori kebutuhan belanja juga super lengkap dengan harga yg masih kompetitif,1
83,Atik Bae,5,alternatif pilihan aku ketika mau belanja banyak lebih praktis pakai astro karena ada gratis ongkirnya dengan minimal belanja dan kurirnya pun sampe dirumah dengan tepat waktu cepat proses pembayaran pun cukup mudah,1
84,Niccosan,5,sejauh ini order kualitas itemnya bagus dan pengirimannya sangat cepat untuk area saya aplikasi juga tidak lag stock item juga real time harga item jika dibanding pasar masih worth it termasuk dengan ongkirnya semoga kualitas dan performa bisa bertahan,1
85,yolanda vita,5,aplikasi yang sangat amat membantu di dalam rumah tangga bisa beli kebutuhan dapur tanpa harus keluar rumah jadi lebih praktis barang yang dijual juga banyak dan harganya lumayan murah terus juga proses pengiriman cepat dan selama pakai aplikasinya ini sih tidak ada kendala apapun,1
86,Siti Fathimatus Zahra',5,marketplace dg desain elegan tatanan produknya rapi juga terperinci banyak pilihan macamnya meskipun belum terlalu banyak banget tapi berbagai variasi produknya sudah lumayan oke harga yg ditawarkan juga sesuai dengan brand produk namun jika agak keberatan ada berbagai diskon yanh tertera di setiap produk tadi mau nyoba co apakah ada gratis ongkir atau max ongkir seberapa tapi sayang banget belum tersedia di daerahku btw ini di kediri apkny juga simple ga terlalu berat jadi ga lag,1
87,Quexlea,5,asli ya akhirnya ketemu apk yang benar menjamin kualitas barang dan pengirimannya super cepat banget serius cuman menit doang soal harga masih oke lah tapi aku suka banget disini kategori kebutuhan belanjanya lengkap banget enaknya astro kalo ada masalah csnya responsif dan proses bayarnya juga mudah saran tambahin fitur cod dong banyakin cabang ke seluruh daerah ya,1
88,Alifgntng Wkwk,5,ga perlu repot lagi muter mini market maupun pasar pke apk astro aja simple di astro kategori kebutuhan belanja sehari hari sangat lengkap kebutuhan kantor juga ada dan yang penting proses pengiriman nya yang super cepat dan pembayaran nya bisa lewat e wallet juga,1
89,Aura Phisky,5,aplikasi nya baguss karna disini produk nya banyak dan lengkap harga nya juga kompetitif truss pelayanan dan pengirimannya yang super cepat membantu bgt si aplikasinya apalagi proses pembayarannya juga mudah jadi semua aman deh,1
90,Dwi Nurmayanti,5,membantu banget sih saat ga banyak waktu buat belanja karena selain pengiriman yg cuma menit pilihan produknya juga banyak dan beragam jadi emang astro cocok banget buat yang sibuk atau yang sekedar malas pergi keluar buat belanja,1
91,Neng Lucky,5,iseng nyoba download aplikasi ini waktu liat iklannya ya ampun ternyata bermanfaat banget ni aplikasi dengan kategori kebutuhan belanja sangat lengkap memudahkan aku yang kadang gak bisa keluar bahkan males keluar untuk belanja dan yang lebih bagusnya lagi proses pengiriman belanja hanya menit,1
92,Yadilawe yadilawe,5,liat tetangga komplek pake apk ini ternyata karena saya ngak bisa naik motor ya berguna banget produk nya cukup lengkap harganya ya cukup murah barang sampai nya cepet dan aman dibungkus rapi dan sayur nya seger interface aplikasi juga simple dan bagus bayar nya udah cukup lengkap,1
93,Novi Rachma Avrilya,5,aplikasi ini sangat cocok digunakan untuk berbelanja kebutuhan sehari hari selain itu harganya juga terjangkau fitur dari aplikasi nya mudah dipahami pembayaran nya juga mudah pengiriman barang juga cepat pokoknya suka banget belanja disini bintang,1
94,Micelle Adelia,5,aplikasinya bagus karena disini produknya banyak dan lengkap harganya juga kompetitif trs pelayanannya dan pengiriman nya super cepat membantu bgt sih aplikasinya proses pembayaran nya juga mudah mantap pokok nya,1
95,Desi Mailina,5,yuhuu kaum rebahan mager aplikasi ini recommended untuk kalian yang mager untuk keluar rumah kayak aku hiks apalagi yang suka ngemil dan makan buah buahan yang mendadak kehabisan stok dirumah pertama kali pake app ini seneng and worth it banget karena ada potongan harga plus gratis ongkir untuk x transaksi pelayanannya cepat sesuai visi misi dari aplikasi ini sendiri semoga lebih lagi kedepannya thank you,1
96,Caca Monica,5,memang pas buka pertama kali di aplikasi ini banyak bangett pilihan produknya superr lengkap semua ada dan harga terjangkau asli recommended nih karna pengirimannya cepat soalnya,1
97,Mariskaa,5,semenjak pake astro uda gaperlu pusing lagi nungguin balanjaan kapan datengnya karena selain pengiriman yang cepat produk juga pengkap untuk pembayaran sangat mudah semua jadi serba praktis pake aplikasi ini,1
98,Yafi Abdullah,5,aplikasi yang bagus dan memudahkan pengguna untuk belanja kebutuhan sehari secara online ada beberapa saran yang mungkin dapat dijadikan pertimbangan agar aplikasi lebih baik lagi saat pemesanan dan pengguna lupa mengubah alamat pengiriman lebih baik jika ditambah fitur penggantian alamat sehingga pengguna tidak melakukan pembelian ulang fitur chatt driver alangkah baiknya jika photo menggunakan photo dari driver fitur tracking pesanan sehingga pembeli tahu posisi driver,1
99,Bintang Pratama,5,belanja jadi gak ribet lagi bisa belanja dari rumah karena ada astro prosesnya juga super cepat cocok banget buat anak kost yang mager keluar karena pengiriman belanjaan hanya menit aja ditambah pilihan produknya banyak dan lengkap banget,1
100,Syabila Ramadhanti,5,applikasi astro sangat membantu saya untuk membeli kebutuhan dirumah mempermudah pembelanjaan kebutuhan makanan dan minuman jadi saya tidak perlu lagi buat belanja keluar pilihan produknya juga banyak dan prosesnya pembayaran mudah untuk dilakukan pokonyaa bagus,1
101,Tsania,5,aplikasi yang mempermudah pembelanjaan kebutuhan makanan dan minuman udah gitu pelayanan cepat proses pembayaran mudah dan kondisi barang baik semua ngga ada yang mengecewakan pembeli membantu sekali untuk saya yang tidak sempat belanja karena mengurus rumah dan kerjaan tinggal pesan melalui hp di aplikasi ini lalu pesanan saya sudah datang,1
102,SAMUEL,5,amanah belanja di aplikasi astro pengiriman belanja hanya menit loh trus pilihan produknya bermacam macam juga dan lengkap untuk kebutuhan rumah tangga dan tentunya proses pengirimannya cepat tidak mengecewakan disamping itu fitur fiturnya lengkap dan cara pemakaiannya mudah di pahami mantapp,1
103,yaasmin hilda,5,aplikasi ini sangat berguna sekali dengan proses pengiriman sangat cepat dan proses pembayaran nya pun mudah tidak ribet kondisi barang yang datang baik semua sesuai ekspektasi disini jugaa kita bisa memilih kategori kebutuhan belanja dengan sangat lengkap dan tentunya beragam mantap,1
104,Diput,5,astro solusi belanja kebutuhan online cepat mempermudah pembelanjaan kebutuhan makanan dan minuman pengiriman nya sangat cepat ada gratis ongkir untuk harganya juga kompetitif dan metode pembayaran nya bisa pake e wallet,1
105,Nailla Rahma,5,first time coba belanja pake astro dan wow ternyata bagus banget sangat membantu aku yang suka belanja kebutuhan sehari hari secara online paling aku suka proses pengiriman cepat banget jadi kalo butuh sesuatu yang mendesak bisa banget nih jadi solusi andalan,1
106,El Damn,5,saya sering banget memesan belanjaan disini karna pengirimannya super cepra hanya dengan waktu menit ajaa selain itu pilihan produknya banyak dan lengkap banget dan harga produknya lumayan kompetitif untuk proses pembayarannya juga sangat mudah dan setelah belanjaan saya datang itu dalam kondisi barang baik semua tidak ada kerusakan satupun,1
107,Helsa Febrina,5,pertama kali coba aplikasi ini saya kira bakalan ribet ternyata engga suka banget sama fitur di aplikasi ini pilihan produk yang ada sangat lengkap pelayanan cepat udah gitu pengiriman juga cepat buat yang males keluar untuk belanja aplikasi ini sangat membantu karna ada gratis ongkir juga jadi bisa belanja hemat dan mudah juga,1
108,Rosi Artina,5,honest review ini aplikasi keren bangett semoga semakin berkembang dan sukses selalu yang belum download jangan lagu untuk download guys pengiriman super cepat packing aman bgt produk fresh pertahankan terus astro,1
109,Puput Jayanti,5,sebagai pesaing yang lain dari belanja online aplikasinya tidak terlalu berat ya untuk harga kompetitif ada diskon untuk pengguna baru pengiriman juga cepat banyak pilihan untuk pembayarannya juga tapi ada salah satu fitur disana yang masih akan segera hadir semoga segera diperlengkap semua fiturnya,1
110,Dik Skyzhii,5,ga perlu repot belanja keluar rumah apalagi ke mini market pake aplikasi astro sangat mempermudah saya dan fitur fiturnya juga banyak jadi mau pilih produk hampir semua adaa yang terpenting pengiriman cepat barang sesuai,1
111,Sechan Salsabila,5,aplikasi paket komplit pilihan produk banyak dan lengkap banget pokok nya sangat amat praktis karna tidak perlu keluar rumah untuk membeli kebutuhan dapur selain itu proses pengiriman cepat dan selama menggunakan aplikasi astro sih tidak pernah ada kendala apapun,1
112,Sandra Ikhawati,5,apk ternyaman untuk belanja mana cepat lagi pengirimannya efisien untuk yang buru harga barangnya lumayan murah dan sangat lengkap juga sama pembayaran yang serba bisa pun barangnya sesuai dalam kondisi baik the best lah,1
113,Nur Azizah,5,pertama kali menggunakan aplikasinya ternyata registrasinya mudah ketika digunakan pun responsif intuitif dan sama sekali tidak menemui masalah harga produknya pun lumayan kompetitif dan ternyata benar ya saya tidak perlu menunggu lama hingga pesanan sampai pengiriman belanjaan saya hanya menit tetap termasuk cepat dan bisa diandalkan,1
114,Kondangan Bapak,5,aplikasi ini benar membantu aku banget mau belanja jadi lebih gampang cuma lewat satu aplikasi ketegori kebutuhan belanja sangat lengkapbelanja harianku juga jadi lebih hemat deh,1
115,Imam Restu Putra Wijaya,5,aplikasi keren nih buat belanja kategori kebutuhan apa yg kita cari semuanya lengkap dengan harga yg murah dan proses pengiriman cepat sangat terbantu dan saya sangat suka langsung bintang,1
116,Dea Anna,5,keren bgt nih aplikasi dengan kategori kebutuhan belanja sangat lengkap prosen pembayaran dan pengiriman juga cepat pas dateng jg belanjaan aman dan baik semua mantepp,1
117,Indah Rahayu,5,wah ternyata di astro pilihan produk banyak dan lengkap banget ya sampe bingung karena saking banyaknya harga produk lumayan kompetitif dan rata lebih murah dari toko online lain saya suka belanja di astro karena semua ada dan lebih murah,1
